State,Household_ID,Income,Family_Size,Land_Owned,Occupation,Aadhaar_Linked,Existing_Benefits,Total_Ration_Cards,Age_Group,Eligible,Duplicate_Flag,Fraud_Flag
Uttar Pradesh,HH00828,76324,3,0,Labour,Yes,1,2,Child,0,1,0
Karnataka,HH00829,18689,6,0,Government Job,No,0,1,Child,1,0,0
Madhya Pradesh,HH00830,90134,9,1,Government Job,Yes,2,2,Child,0,1,1
Andhra Pradesh,HH00831,98239,2,1,Labour,Yes,2,2,Child,0,1,1
Karnataka,HH00832,3066,7,0,Labour,No,0,2,Child,1,1,0
Uttar Pradesh,HH00833,48246,5,0,Business,Yes,1,1,Adult,0,0,0
Karnataka,HH00834,10533,5,0,Government Job,Yes,1,1,Child,1,0,0
Uttar Pradesh,HH00835,83639,7,1,Government Job,Yes,0,1,Adult,0,0,0
Uttar Pradesh,HH00836,73152,9,1,Farmer,Yes,2,2,Senior,0,1,1
Tamil Nadu,HH00837,62658,4,0,Farmer,Yes,2,2,Senior,0,1,1
Maharashtra,HH00838,41498,9,1,Government Job,Yes,0,2,Senior,0,1,0
Rajasthan,HH00839,14772,9,0,Farmer,Yes,2,2,Senior,1,1,0
Tamil Nadu,HH00840,92385,4,1,Government Job,Yes,2,1,Adult,0,0,1
Madhya Pradesh,HH00841,52036,3,0,Private Job,Yes,0,2,Adult,0,1,0
Tamil Nadu,HH00842,61531,2,0,Business,Yes,2,1,Senior,0,0,1
Bihar,HH00843,15940,9,0,Farmer,Yes,0,2,Child,1,1,0
Bihar,HH00844,19932,2,0,Government Job,Yes,0,1,Senior,1,0,0
Rajasthan,HH00845,98305,6,0,Farmer,Yes,0,2,Senior,0,1,0
Karnataka,HH00846,59827,5,0,Business,Yes,2,1,Adult,0,0,0
Maharashtra,HH00847,64431,5,0,Private Job,No,0,2,Senior,0,1,0
Rajasthan,HH00848,27648,4,0,Labour,Yes,2,1,Adult,0,0,0
Uttar Pradesh,HH00849,35966,6,0,Labour,Yes,0,1,Adult,0,0,0
Telangana,HH00850,30777,5,1,Farmer,No,1,1,Senior,0,0,0
Maharashtra,HH00851,35567,4,1,Government Job,No,2,2,Child,0,1,0
Maharashtra,HH00852,20174,9,0,Business,Yes,2,1,Adult,0,0,0
Uttar Pradesh,HH00853,45598,6,0,Private Job,No,2,1,Adult,0,0,0
Uttar Pradesh,HH00854,62199,3,0,Private Job,Yes,1,1,Adult,0,0,0
Andhra Pradesh,HH00855,16798,6,1,Private Job,Yes,0,1,Senior,0,0,0
Rajasthan,HH00856,68364,1,1,Labour,Yes,1,1,Senior,0,0,0
Uttar Pradesh,HH00857,20558,5,0,Business,Yes,0,2,Adult,0,1,0
Bihar,HH00858,64084,6,1,Labour,Yes,0,1,Child,0,0,0
Madhya Pradesh,HH00859,47237,8,1,Farmer,Yes,0,2,Senior,0,1,0
Telangana,HH00860,68497,9,1,Private Job,Yes,0,1,Child,0,0,0
Rajasthan,HH00861,3178,3,0,Business,Yes,0,2,Child,1,1,0
West Bengal,HH00862,89006,2,0,Private Job,Yes,1,2,Senior,0,1,0
Bihar,HH00863,20118,4,0,Labour,Yes,2,2,Adult,0,1,0
Karnataka,HH00864,25616,8,0,Labour,Yes,1,2,Child,0,1,0
Uttar Pradesh,HH00865,3798,8,0,Labour,No,2,2,Adult,1,1,0
West Bengal,HH00866,10601,3,0,Private Job,Yes,2,2,Child,1,1,0
Uttar Pradesh,HH00867,28363,4,0,Business,Yes,2,1,Adult,0,0,0
Maharashtra,HH00868,5795,3,0,Business,Yes,1,1,Senior,1,0,0
Bihar,HH00869,48264,2,0,Farmer,Yes,0,1,Child,0,0,0
Maharashtra,HH00870,75833,4,0,Private Job,Yes,0,1,Child,0,0,0
Andhra Pradesh,HH00871,6084,6,1,Farmer,Yes,2,2,Child,0,1,0
Maharashtra,HH00872,98865,5,1,Farmer,Yes,0,2,Adult,0,1,0
Andhra Pradesh,HH00873,79646,3,0,Farmer,Yes,0,2,Child,0,1,0
Andhra Pradesh,HH00874,3731,2,0,Farmer,Yes,1,1,Child,1,0,0
West Bengal,HH00875,4129,9,0,Labour,Yes,0,1,Adult,1,0,0
Uttar Pradesh,HH00876,31022,1,0,Farmer,No,0,2,Adult,0,1,0
Karnataka,HH00877,4605,9,1,Business,Yes,1,1,Senior,0,0,0
Maharashtra,HH00878,80506,1,0,Farmer,Yes,0,2,Adult,0,1,0
Bihar,HH00879,47130,7,0,Labour,Yes,2,2,Child,0,1,0
Andhra Pradesh,HH00880,32265,6,1,Government Job,No,1,1,Child,0,0,0
Uttar Pradesh,HH00881,35330,7,0,Government Job,Yes,0,2,Senior,0,1,0
Telangana,HH00882,71469,3,0,Government Job,Yes,0,1,Senior,0,0,0
Rajasthan,HH00883,18187,3,0,Private Job,Yes,1,1,Child,1,0,0
West Bengal,HH00884,28791,1,0,Business,Yes,2,1,Adult,0,0,0
Karnataka,HH00885,93436,4,0,Labour,No,1,1,Child,0,0,0
Tamil Nadu,HH00886,73610,2,0,Government Job,No,2,2,Senior,0,1,1
West Bengal,HH00887,94962,8,0,Labour,Yes,1,2,Child,0,1,0
Telangana,HH00888,42867,3,1,Labour,Yes,0,2,Child,0,1,0
Rajasthan,HH00889,3893,7,0,Private Job,Yes,1,2,Child,1,1,0
Telangana,HH00890,22773,7,1,Government Job,Yes,1,1,Senior,0,0,0
Maharashtra,HH00891,7239,9,0,Farmer,No,2,1,Senior,1,0,0
Andhra Pradesh,HH00892,23863,6,0,Labour,Yes,1,2,Senior,0,1,0
Karnataka,HH00893,54415,1,0,Government Job,Yes,2,1,Adult,0,0,0
Madhya Pradesh,HH00894,71968,8,0,Labour,Yes,1,1,Senior,0,0,0
Andhra Pradesh,HH00895,63430,1,0,Private Job,Yes,0,2,Adult,0,1,0
Madhya Pradesh,HH00896,4515,3,0,Private Job,No,1,2,Adult,1,1,0
Rajasthan,HH00897,17605,5,1,Farmer,Yes,0,1,Senior,0,0,0
Uttar Pradesh,HH00898,59240,8,0,Private Job,Yes,2,2,Adult,0,1,0
Tamil Nadu,HH00899,8586,9,0,Government Job,Yes,2,1,Adult,1,0,0
Bihar,HH00900,34186,7,1,Private Job,Yes,2,1,Child,0,0,0
Andhra Pradesh,HH00901,29928,9,0,Farmer,No,2,2,Adult,0,1,0
Karnataka,HH00902,86087,3,0,Business,No,1,2,Adult,0,1,0
Telangana,HH00903,90029,5,1,Labour,No,1,2,Senior,0,1,0
Karnataka,HH00904,23711,8,0,Labour,Yes,1,1,Child,0,0,0
Rajasthan,HH00905,57962,1,0,Government Job,Yes,0,2,Adult,0,1,0
Madhya Pradesh,HH00906,23039,8,0,Farmer,Yes,1,2,Adult,0,1,0
Telangana,HH00907,39561,7,0,Farmer,Yes,0,2,Adult,0,1,0
Bihar,HH00908,78483,1,0,Farmer,Yes,0,2,Senior,0,1,0
Bihar,HH00909,84395,6,0,Labour,Yes,1,1,Senior,0,0,0
Andhra Pradesh,HH00910,91658,1,1,Private Job,Yes,0,2,Child,0,1,0
Rajasthan,HH00911,4577,2,1,Labour,Yes,2,1,Adult,0,0,0
Uttar Pradesh,HH00912,31350,5,0,Labour,Yes,1,2,Child,0,1,0
Rajasthan,HH00913,36798,2,0,Labour,No,1,2,Senior,0,1,0
Madhya Pradesh,HH00914,84417,1,1,Private Job,No,0,2,Adult,0,1,0
Karnataka,HH00915,13785,6,0,Business,Yes,1,1,Adult,1,0,0
Bihar,HH00916,75227,8,0,Government Job,Yes,1,2,Child,0,1,0
Karnataka,HH00917,64957,8,0,Business,No,0,2,Adult,0,1,0
Karnataka,HH00918,68431,8,1,Business,Yes,1,2,Senior,0,1,0
Karnataka,HH00919,20297,6,0,Labour,Yes,1,1,Child,0,0,0
Bihar,HH00920,74894,3,1,Business,Yes,1,2,Child,0,1,0
West Bengal,HH00921,66772,1,0,Labour,Yes,0,2,Adult,0,1,0
Maharashtra,HH00922,22581,2,0,Labour,Yes,1,1,Senior,0,0,0
Madhya Pradesh,HH00923,58192,5,0,Government Job,No,1,1,Adult,0,0,0
West Bengal,HH00924,4462,5,0,Farmer,Yes,1,1,Child,1,0,0
Madhya Pradesh,HH00925,67173,1,1,Labour,Yes,2,1,Child,0,0,1
Telangana,HH00926,18511,1,1,Business,Yes,1,2,Senior,0,1,0
Rajasthan,HH00927,79106,9,0,Government Job,Yes,0,2,Child,0,1,0
Rajasthan,HH00928,51665,2,1,Business,Yes,2,1,Senior,0,0,0
Tamil Nadu,HH00929,47414,7,1,Farmer,Yes,0,1,Adult,0,0,0
Rajasthan,HH00930,84010,4,0,Private Job,Yes,1,1,Senior,0,0,0
Bihar,HH00931,75573,7,0,Farmer,Yes,1,1,Adult,0,0,0
Uttar Pradesh,HH00932,96665,8,0,Government Job,Yes,1,2,Adult,0,1,0
Andhra Pradesh,HH00933,16386,5,0,Farmer,Yes,2,1,Child,1,0,0
Tamil Nadu,HH00934,57460,1,0,Farmer,Yes,1,1,Adult,0,0,0
Andhra Pradesh,HH00935,9221,4,0,Government Job,Yes,0,2,Child,1,1,0
Madhya Pradesh,HH00936,26474,3,0,Government Job,Yes,2,2,Senior,0,1,0
Andhra Pradesh,HH00937,24045,5,1,Business,Yes,0,1,Senior,0,0,0
Andhra Pradesh,HH00938,94319,6,1,Labour,No,0,1,Adult,0,0,0
Tamil Nadu,HH00939,7922,2,0,Private Job,No,0,1,Senior,1,0,0
Telangana,HH00940,25706,7,0,Private Job,Yes,0,2,Adult,0,1,0
Karnataka,HH00941,45771,3,0,Private Job,Yes,0,2,Senior,0,1,0
Rajasthan,HH00942,55335,1,0,Farmer,Yes,1,2,Adult,0,1,0
Rajasthan,HH00943,55949,3,0,Government Job,Yes,0,1,Adult,0,0,0
Bihar,HH00944,73714,9,0,Government Job,Yes,0,1,Senior,0,0,0
Tamil Nadu,HH00945,98558,6,0,Government Job,Yes,1,2,Senior,0,1,0
Bihar,HH00946,18240,6,0,Labour,Yes,2,2,Senior,1,1,0
Uttar Pradesh,HH00947,94756,4,0,Government Job,Yes,1,2,Senior,0,1,0
Uttar Pradesh,HH00948,5716,8,0,Government Job,Yes,2,1,Adult,1,0,0
Bihar,HH00949,19574,5,1,Farmer,Yes,0,2,Adult,0,1,0
Tamil Nadu,HH00950,86255,7,1,Business,Yes,1,2,Senior,0,1,0
Bihar,HH00951,76717,9,0,Private Job,Yes,2,2,Senior,0,1,1
Rajasthan,HH00952,47066,5,0,Farmer,Yes,2,1,Child,0,0,0
West Bengal,HH00953,64826,5,0,Farmer,No,1,2,Adult,0,1,0
Maharashtra,HH00954,23213,4,0,Farmer,Yes,1,1,Adult,0,0,0
Andhra Pradesh,HH00955,74916,6,0,Private Job,No,1,1,Senior,0,0,0
Maharashtra,HH00956,69151,2,0,Farmer,Yes,1,1,Child,0,0,0
Tamil Nadu,HH00957,53906,3,1,Business,Yes,1,2,Senior,0,1,0
Maharashtra,HH00958,3463,1,0,Government Job,Yes,0,1,Adult,1,0,0
Uttar Pradesh,HH00959,34973,2,1,Business,Yes,0,2,Adult,0,1,0
Madhya Pradesh,HH00960,77694,2,0,Government Job,Yes,1,1,Child,0,0,0
Andhra Pradesh,HH00961,23651,8,0,Government Job,No,1,1,Senior,0,0,0
Karnataka,HH00962,71694,8,0,Farmer,Yes,0,1,Child,0,0,0
Tamil Nadu,HH00963,23008,2,0,Farmer,Yes,2,2,Senior,0,1,0
Andhra Pradesh,HH00964,73474,6,0,Private Job,Yes,0,2,Child,0,1,0
Maharashtra,HH00965,41185,5,0,Labour,No,1,2,Senior,0,1,0
Uttar Pradesh,HH00966,90924,3,0,Business,Yes,2,2,Senior,0,1,1
Telangana,HH00967,77417,5,0,Private Job,Yes,1,1,Senior,0,0,0
West Bengal,HH00968,74139,5,0,Private Job,Yes,2,1,Adult,0,0,1
Karnataka,HH00969,37980,5,1,Business,Yes,1,1,Senior,0,0,0
West Bengal,HH00970,25504,3,0,Business,Yes,0,1,Adult,0,0,0
Andhra Pradesh,HH00971,57970,3,0,Government Job,Yes,1,1,Child,0,0,0
Uttar Pradesh,HH00972,19766,4,0,Labour,Yes,0,2,Senior,1,1,0
Uttar Pradesh,HH00973,96922,7,1,Farmer,Yes,2,1,Adult,0,0,1
Maharashtra,HH00974,14695,2,0,Labour,Yes,0,2,Child,1,1,0
Rajasthan,HH00975,20796,4,0,Labour,No,2,2,Senior,0,1,0
Maharashtra,HH00976,45543,4,0,Farmer,Yes,1,2,Child,0,1,0
Rajasthan,HH00977,17559,1,0,Labour,Yes,0,1,Adult,1,0,0
Rajasthan,HH00978,36139,8,0,Private Job,Yes,2,2,Adult,0,1,0
Karnataka,HH00979,11802,1,1,Private Job,Yes,2,2,Senior,0,1,0
Maharashtra,HH00980,76843,8,1,Farmer,Yes,2,2,Adult,0,1,1
Telangana,HH00981,43205,7,0,Farmer,Yes,2,2,Adult,0,1,0
Bihar,HH00982,37159,9,0,Business,Yes,1,1,Child,0,0,0
Bihar,HH00983,14516,8,0,Business,No,1,1,Senior,1,0,0
Maharashtra,HH00984,53492,5,0,Labour,Yes,1,1,Senior,0,0,0
Maharashtra,HH00985,32086,8,1,Labour,No,2,2,Senior,0,1,0
West Bengal,HH00986,33480,3,0,Farmer,Yes,1,2,Child,0,1,0
Karnataka,HH00987,55091,7,0,Labour,Yes,2,1,Adult,0,0,0
Maharashtra,HH00988,50766,4,0,Government Job,Yes,2,1,Senior,0,0,0
West Bengal,HH00989,41737,5,1,Private Job,Yes,2,2,Senior,0,1,0
Rajasthan,HH00990,12265,9,0,Labour,Yes,0,2,Child,1,1,0
Uttar Pradesh,HH00991,73990,7,0,Labour,Yes,1,1,Child,0,0,0
Uttar Pradesh,HH00992,94717,4,0,Business,Yes,1,1,Senior,0,0,0
Rajasthan,HH00993,18386,6,0,Government Job,Yes,0,2,Senior,1,1,0
Tamil Nadu,HH00994,40425,7,1,Labour,Yes,0,1,Child,0,0,0
West Bengal,HH00995,46254,9,0,Private Job,Yes,0,1,Child,0,0,0
West Bengal,HH00996,92863,4,0,Labour,Yes,0,2,Child,0,1,0
Rajasthan,HH00997,56634,3,0,Farmer,Yes,2,1,Child,0,0,0
Telangana,HH00998,89717,8,1,Government Job,No,1,1,Adult,0,0,0
Madhya Pradesh,HH00999,50662,1,0,Labour,Yes,1,2,Adult,0,1,0
Andhra Pradesh,HH01000,89988,9,0,Government Job,Yes,1,1,Senior,0,0,0
Rajasthan,HH01001,90527,1,0,Labour,Yes,2,2,Adult,0,1,1
Maharashtra,HH01002,78452,2,0,Private Job,No,1,1,Child,0,0,0
Maharashtra,HH01003,13143,8,1,Private Job,Yes,0,1,Senior,0,0,0
Karnataka,HH01004,94391,9,1,Government Job,Yes,1,2,Child,0,1,0
Rajasthan,HH01005,18581,7,0,Business,Yes,1,1,Adult,1,0,0
Karnataka,HH01006,70443,3,0,Business,Yes,2,1,Child,0,0,1
Rajasthan,HH01007,32424,7,1,Farmer,Yes,0,2,Senior,0,1,0
West Bengal,HH01008,91844,6,0,Business,No,0,2,Adult,0,1,0
Andhra Pradesh,HH01009,44984,2,0,Government Job,Yes,0,1,Senior,0,0,0
West Bengal,HH01010,44505,3,0,Business,No,1,1,Adult,0,0,0
Madhya Pradesh,HH01011,65699,5,0,Farmer,Yes,0,1,Child,0,0,0
Uttar Pradesh,HH01012,29957,4,0,Labour,No,0,2,Senior,0,1,0
Bihar,HH01013,28464,2,1,Business,No,1,1,Adult,0,0,0
Rajasthan,HH01014,26649,4,1,Government Job,Yes,2,1,Adult,0,0,0
Madhya Pradesh,HH01015,45065,8,0,Government Job,Yes,1,2,Adult,0,1,0
Uttar Pradesh,HH01016,95661,5,0,Farmer,Yes,2,2,Adult,0,1,1
Tamil Nadu,HH01017,37758,5,0,Farmer,Yes,2,2,Child,0,1,0
Andhra Pradesh,HH01018,8596,3,0,Private Job,Yes,0,2,Child,1,1,0
Karnataka,HH01019,19374,8,0,Private Job,Yes,0,1,Adult,1,0,0
Karnataka,HH01020,6775,6,0,Private Job,Yes,1,1,Child,1,0,0
West Bengal,HH01021,30388,2,1,Labour,Yes,2,1,Child,0,0,0
Maharashtra,HH01022,24029,2,1,Government Job,No,1,2,Adult,0,1,0
Uttar Pradesh,HH01023,86981,9,0,Private Job,Yes,0,1,Child,0,0,0
Tamil Nadu,HH01024,56639,7,0,Government Job,Yes,2,1,Senior,0,0,0
Madhya Pradesh,HH01025,17645,9,0,Farmer,Yes,0,1,Senior,1,0,0
Andhra Pradesh,HH01026,34105,6,1,Labour,Yes,0,2,Child,0,1,0
Uttar Pradesh,HH01027,16668,5,0,Farmer,Yes,0,1,Adult,1,0,0
Tamil Nadu,HH01028,18960,1,0,Government Job,Yes,2,1,Senior,1,0,0
Bihar,HH01029,14357,6,0,Private Job,Yes,2,2,Child,1,1,0
Rajasthan,HH01030,67604,6,1,Farmer,Yes,0,1,Child,0,0,0
Karnataka,HH01031,54796,3,1,Business,Yes,2,2,Adult,0,1,0
Madhya Pradesh,HH01032,18804,3,0,Labour,No,0,2,Adult,1,1,0
Karnataka,HH01033,17626,3,1,Government Job,Yes,0,1,Child,0,0,0
Madhya Pradesh,HH01034,31132,3,0,Private Job,Yes,0,2,Adult,0,1,0
West Bengal,HH01035,10951,7,0,Farmer,Yes,2,2,Senior,1,1,0
Maharashtra,HH01036,9449,2,1,Labour,Yes,1,2,Senior,0,1,0
Madhya Pradesh,HH01037,22065,2,1,Private Job,No,1,1,Child,0,0,0
Karnataka,HH01038,12130,3,0,Farmer,Yes,2,2,Child,1,1,0
West Bengal,HH01039,92360,7,0,Government Job,Yes,2,1,Adult,0,0,1
Madhya Pradesh,HH01040,65287,3,1,Business,Yes,0,1,Senior,0,0,0
Bihar,HH01041,54702,7,1,Business,No,0,2,Adult,0,1,0
Maharashtra,HH01042,39993,9,1,Government Job,Yes,1,2,Child,0,1,0
Madhya Pradesh,HH01043,34875,4,0,Labour,Yes,0,1,Child,0,0,0
West Bengal,HH01044,9054,7,1,Government Job,Yes,1,2,Child,0,1,0
Uttar Pradesh,HH01045,51517,9,1,Farmer,Yes,1,1,Child,0,0,0
Telangana,HH01046,79368,8,0,Labour,Yes,2,1,Child,0,0,1
Tamil Nadu,HH01047,32670,8,1,Business,No,2,2,Child,0,1,0
Telangana,HH01048,52112,9,0,Farmer,Yes,2,2,Adult,0,1,0
Telangana,HH01049,91388,5,0,Private Job,Yes,1,2,Adult,0,1,0
Andhra Pradesh,HH01050,92156,5,0,Private Job,Yes,2,2,Adult,0,1,1
Bihar,HH01051,31307,3,0,Private Job,No,1,2,Senior,0,1,0
Uttar Pradesh,HH01052,70087,5,0,Business,Yes,2,2,Adult,0,1,1
Rajasthan,HH01053,50922,8,1,Government Job,Yes,1,2,Child,0,1,0
Madhya Pradesh,HH01054,66080,5,0,Labour,Yes,0,2,Adult,0,1,0
Tamil Nadu,HH01055,96348,4,0,Business,Yes,0,2,Adult,0,1,0
Maharashtra,HH01056,82335,8,1,Farmer,Yes,1,2,Senior,0,1,0
Uttar Pradesh,HH01057,29312,7,0,Farmer,Yes,1,1,Child,0,0,0
Karnataka,HH01058,69985,6,0,Private Job,Yes,0,2,Senior,0,1,0
Rajasthan,HH01059,60608,5,0,Labour,No,1,2,Senior,0,1,0
Andhra Pradesh,HH01060,92962,5,0,Private Job,Yes,1,2,Senior,0,1,0
Andhra Pradesh,HH01061,43277,2,0,Farmer,No,0,1,Adult,0,0,0
Uttar Pradesh,HH01062,34551,4,1,Farmer,Yes,1,2,Child,0,1,0
West Bengal,HH01063,92813,8,0,Government Job,Yes,2,2,Child,0,1,1
Telangana,HH01064,59597,8,1,Government Job,Yes,0,2,Senior,0,1,0
Karnataka,HH01065,48212,1,0,Government Job,Yes,2,2,Child,0,1,0
Andhra Pradesh,HH01066,12637,2,0,Private Job,No,1,2,Child,1,1,0
Tamil Nadu,HH01067,46258,5,0,Labour,Yes,1,1,Senior,0,0,0
Andhra Pradesh,HH01068,38693,9,1,Government Job,Yes,2,2,Adult,0,1,0
Maharashtra,HH01069,12824,7,0,Business,Yes,1,2,Senior,1,1,0
Madhya Pradesh,HH01070,29950,5,0,Government Job,Yes,1,1,Senior,0,0,0
Andhra Pradesh,HH01071,26488,1,0,Private Job,No,2,1,Adult,0,0,0
Maharashtra,HH01072,3215,6,0,Labour,Yes,1,1,Adult,1,0,0
Uttar Pradesh,HH01073,14523,8,0,Government Job,No,0,2,Adult,1,1,0
Uttar Pradesh,HH01074,78900,7,0,Labour,Yes,2,2,Adult,0,1,1
Rajasthan,HH01075,71689,2,0,Business,Yes,2,1,Senior,0,0,1
Andhra Pradesh,HH01076,26834,5,1,Farmer,No,2,2,Adult,0,1,0
Tamil Nadu,HH01077,37474,4,0,Labour,Yes,2,2,Child,0,1,0
Andhra Pradesh,HH01078,46066,9,0,Government Job,Yes,0,2,Senior,0,1,0
Tamil Nadu,HH01079,13400,1,0,Private Job,No,2,2,Senior,1,1,0
Bihar,HH01080,13345,6,0,Private Job,Yes,2,2,Adult,1,1,0
Rajasthan,HH01081,36896,3,1,Private Job,Yes,1,1,Adult,0,0,0
Bihar,HH01082,88430,9,0,Private Job,Yes,2,1,Child,0,0,1
Andhra Pradesh,HH01083,31899,5,0,Labour,Yes,1,1,Adult,0,0,0
Rajasthan,HH01084,31229,6,1,Private Job,No,2,2,Senior,0,1,0
Bihar,HH01085,8583,9,0,Farmer,No,2,1,Adult,1,0,0
Telangana,HH01086,7897,9,0,Business,Yes,0,2,Child,1,1,0
Andhra Pradesh,HH01087,74537,8,0,Labour,Yes,1,1,Senior,0,0,0
Bihar,HH01088,7567,9,1,Labour,No,0,1,Senior,0,0,0
Telangana,HH01089,77807,4,1,Private Job,Yes,1,1,Adult,0,0,0
Telangana,HH01090,80239,6,1,Private Job,Yes,2,1,Child,0,0,1
Uttar Pradesh,HH01091,16329,5,0,Labour,Yes,0,2,Child,1,1,0
Andhra Pradesh,HH01092,74792,5,1,Private Job,No,1,1,Adult,0,0,0
Telangana,HH01093,3228,4,0,Private Job,No,1,1,Senior,1,0,0
Uttar Pradesh,HH01094,93282,2,0,Private Job,Yes,0,1,Senior,0,0,0
Bihar,HH01095,85214,6,1,Private Job,No,1,2,Senior,0,1,0
Maharashtra,HH01096,40052,9,0,Private Job,Yes,2,1,Adult,0,0,0
Andhra Pradesh,HH01097,60769,1,0,Government Job,Yes,1,1,Senior,0,0,0
Rajasthan,HH01098,49032,7,0,Government Job,No,2,1,Senior,0,0,0
Tamil Nadu,HH01099,91721,6,0,Government Job,Yes,1,1,Adult,0,0,0
Tamil Nadu,HH01100,36686,3,1,Labour,Yes,0,1,Senior,0,0,0
Bihar,HH01101,79981,1,0,Business,Yes,2,2,Adult,0,1,1
West Bengal,HH01102,66261,4,0,Labour,Yes,1,1,Child,0,0,0
West Bengal,HH01103,5809,9,0,Government Job,Yes,2,2,Child,1,1,0
Bihar,HH01104,44785,2,1,Labour,Yes,0,2,Adult,0,1,0
Telangana,HH01105,39547,3,1,Business,No,1,1,Adult,0,0,0
Andhra Pradesh,HH01106,45818,2,0,Private Job,No,1,1,Adult,0,0,0
Tamil Nadu,HH01107,74927,2,1,Farmer,Yes,2,2,Senior,0,1,1
Tamil Nadu,HH01108,68681,8,1,Government Job,Yes,0,1,Senior,0,0,0
Telangana,HH01109,82465,3,0,Government Job,Yes,0,1,Adult,0,0,0
Tamil Nadu,HH01110,92862,7,0,Business,Yes,1,2,Adult,0,1,0
Rajasthan,HH01111,98527,8,0,Private Job,Yes,2,1,Senior,0,0,1
Andhra Pradesh,HH01112,40333,3,1,Private Job,Yes,1,2,Senior,0,1,0
Madhya Pradesh,HH01113,19576,2,0,Farmer,Yes,1,2,Adult,1,1,0
Tamil Nadu,HH01114,42405,8,0,Private Job,Yes,2,1,Senior,0,0,0
Bihar,HH01115,97000,3,0,Business,Yes,0,1,Senior,0,0,0
Rajasthan,HH01116,76779,7,1,Private Job,Yes,1,2,Child,0,1,0
Tamil Nadu,HH01117,34601,1,0,Business,Yes,1,2,Adult,0,1,0
Rajasthan,HH01118,70946,6,1,Government Job,Yes,2,1,Adult,0,0,1
Uttar Pradesh,HH01119,70356,9,1,Government Job,Yes,2,2,Senior,0,1,1
Madhya Pradesh,HH01120,55116,3,0,Government Job,Yes,1,2,Child,0,1,0
Karnataka,HH01121,65894,7,0,Labour,Yes,0,1,Adult,0,0,0
Bihar,HH01122,37635,6,0,Government Job,Yes,2,1,Adult,0,0,0
Bihar,HH01123,10465,8,1,Business,Yes,1,2,Senior,0,1,0
Andhra Pradesh,HH01124,59754,3,0,Farmer,Yes,0,1,Adult,0,0,0
Rajasthan,HH01125,95850,3,0,Private Job,Yes,2,2,Senior,0,1,1
Telangana,HH01126,88119,4,0,Government Job,Yes,2,2,Child,0,1,1
Bihar,HH01127,95691,3,0,Labour,No,1,1,Child,0,0,0
Rajasthan,HH01128,41871,9,1,Labour,Yes,2,2,Adult,0,1,0
Rajasthan,HH01129,65874,4,0,Business,Yes,1,2,Senior,0,1,0
Maharashtra,HH01130,80733,6,1,Farmer,No,2,2,Child,0,1,1
Maharashtra,HH01131,32511,8,0,Government Job,Yes,0,1,Adult,0,0,0
Karnataka,HH01132,83960,8,0,Government Job,Yes,0,1,Adult,0,0,0
Uttar Pradesh,HH01133,51821,5,1,Labour,Yes,2,2,Adult,0,1,0
Karnataka,HH01134,68776,5,0,Business,Yes,1,2,Senior,0,1,0
Tamil Nadu,HH01135,73167,6,1,Labour,Yes,2,2,Senior,0,1,1
Telangana,HH01136,78135,7,0,Labour,Yes,1,1,Child,0,0,0
Tamil Nadu,HH01137,47462,7,0,Farmer,Yes,2,2,Senior,0,1,0
West Bengal,HH01138,64382,4,0,Business,No,0,1,Senior,0,0,0
Tamil Nadu,HH01139,93194,6,1,Farmer,Yes,1,2,Adult,0,1,0
Andhra Pradesh,HH01140,35574,7,1,Business,Yes,0,2,Adult,0,1,0
Tamil Nadu,HH01141,44910,5,0,Government Job,Yes,0,1,Child,0,0,0
Karnataka,HH01142,76531,5,0,Private Job,Yes,0,1,Adult,0,0,0
Bihar,HH01143,28186,2,0,Private Job,No,2,1,Adult,0,0,0
Bihar,HH01144,97781,7,0,Business,Yes,1,2,Adult,0,1,0
Maharashtra,HH01145,25813,6,1,Private Job,Yes,0,2,Senior,0,1,0
Telangana,HH01146,81812,1,0,Labour,Yes,1,1,Adult,0,0,0
Telangana,HH01147,88525,4,1,Government Job,Yes,1,1,Child,0,0,0
Andhra Pradesh,HH01148,81282,3,0,Government Job,Yes,0,2,Child,0,1,0
Karnataka,HH01149,21557,3,1,Private Job,No,2,2,Adult,0,1,0
Maharashtra,HH01150,31060,7,0,Business,Yes,0,1,Adult,0,0,0
West Bengal,HH01151,61866,4,0,Labour,Yes,0,2,Child,0,1,0
Telangana,HH01152,75104,8,1,Business,Yes,1,1,Senior,0,0,0
Bihar,HH01153,87577,9,0,Private Job,No,2,2,Adult,0,1,1
Tamil Nadu,HH01154,9080,3,1,Government Job,No,1,1,Child,0,0,0
Tamil Nadu,HH01155,16854,5,1,Government Job,Yes,2,2,Senior,0,1,0
Maharashtra,HH01156,70695,4,0,Business,Yes,0,2,Child,0,1,0
Karnataka,HH01157,30025,6,0,Farmer,Yes,2,2,Senior,0,1,0
Karnataka,HH01158,55982,4,0,Business,Yes,1,1,Child,0,0,0
Uttar Pradesh,HH01159,44081,8,0,Farmer,Yes,0,1,Child,0,0,0
Madhya Pradesh,HH01160,7368,3,0,Business,Yes,2,1,Senior,1,0,0
Telangana,HH01161,30094,5,0,Farmer,Yes,2,2,Adult,0,1,0
Karnataka,HH01162,49040,1,0,Farmer,Yes,1,2,Child,0,1,0
Bihar,HH01163,69766,6,0,Farmer,Yes,2,1,Adult,0,0,1
